epoch,train_loss,val_loss,val_acc,val_f1,lr,is_best,timestamp
1,0.045905442791990936,0.049199716188013554,0.7822222222222223,0.7393617021276596,0.001,True,2026-05-14T16:47:21.879252
2,0.03317416290519759,0.04409858025610447,0.7755555555555556,0.7335092348284961,0.001,False,2026-05-14T16:47:23.893876
3,0.024386329285334796,0.030683603137731552,0.8222222222222222,0.786096256684492,0.001,True,2026-05-14T16:47:25.885718
4,0.020390083373058587,0.07600344903767109,0.6333333333333333,0.6540880503144654,0.001,False,2026-05-14T16:47:27.740319
5,0.018041987321339548,0.028186099138110876,0.8866666666666667,0.8610354223433242,0.001,True,2026-05-14T16:47:29.447598
6,0.01671910990262404,0.12941060215234756,0.6266666666666667,0.654320987654321,0.001,False,2026-05-14T16:47:31.087131
7,0.013227595525677316,0.024967418983578682,0.9266666666666666,0.8925081433224755,0.001,True,2026-05-14T16:47:32.746757
8,0.01051479679881595,0.2623668536543846,0.5,0.5871559633027523,0.001,False,2026-05-14T16:47:34.345615
9,0.009008082175569143,0.07586126867681742,0.7688888888888888,0.7547169811320755,0.001,False,2026-05-14T16:47:36.010777
10,0.010324371956812683,0.06871634814888239,0.7911111111111111,0.7729468599033816,0.001,False,2026-05-14T16:47:37.691101
11,0.006769507483113557,0.019400093937292695,0.9511111111111111,0.9352941176470588,0.001,True,2026-05-14T16:47:39.322172
12,0.008148987726599444,0.05653411149978638,0.9,0.8494983277591973,0.001,False,2026-05-14T16:47:41.027418
13,0.0075153410725761205,0.04003669135272503,0.84,0.8163265306122449,0.001,False,2026-05-14T16:47:42.891312
14,0.005192714685108513,0.015172480721957982,0.9733333333333334,0.9620253164556962,0.001,True,2026-05-14T16:47:44.584524
15,0.0040517620436730795,0.012852355604991317,0.9822222222222222,0.9751552795031055,0.001,True,2026-05-14T16:47:46.301686
16,0.003272518164521898,0.021303438115864992,0.9711111111111111,0.9589905362776026,0.001,False,2026-05-14T16:47:47.978271
17,0.004228311154292896,0.04238835256546736,0.8666666666666667,0.8421052631578947,0.001,False,2026-05-14T16:47:49.671183
18,0.005147575771843549,0.045635688584297895,0.8733333333333333,0.8256880733944955,0.001,False,2026-05-14T16:47:51.395561
19,0.004515722692303825,0.05724717769771814,0.8466666666666667,0.8226221079691517,0.001,False,2026-05-14T16:47:53.081517
20,0.0031461230009881547,0.022631417494267225,0.9577777777777777,0.9381107491856677,0.001,False,2026-05-14T16:47:54.746549
21,0.00264458197489148,0.04228316340595484,0.9022222222222223,0.8791208791208791,0.001,False,2026-05-14T16:47:56.420552
22,0.002356027697715035,0.015943655045703053,0.9466666666666667,0.9294117647058824,0.001,False,2026-05-14T16:47:58.121387
23,0.002892808916840295,0.17574256658554077,0.8311111111111111,0.6935483870967742,0.001,False,2026-05-14T16:47:59.814294
24,0.0043563894541875925,0.4183417856693268,0.5822222222222222,0.6284584980237155,0.001,False,2026-05-14T16:48:01.591105
25,0.002365045157603163,0.01936713489703834,0.9644444444444444,0.9483870967741935,0.001,False,2026-05-14T16:48:03.290866
26,0.001426435945177218,0.01349091180600226,0.9711111111111111,0.960960960960961,0.001,False,2026-05-14T16:48:05.017899
27,0.0008865135855558037,0.03707596380263567,0.9511111111111111,0.9276315789473685,0.001,False,2026-05-14T16:48:06.666498
28,0.002013186716794735,0.03710170928388834,0.9444444444444444,0.9169435215946844,0.001,False,2026-05-14T16:48:08.367694
29,0.0019439024763414636,0.03952139522880316,0.9022222222222223,0.8791208791208791,0.001,False,2026-05-14T16:48:09.999851
30,0.002714156642468879,0.0750953396782279,0.9133333333333333,0.8695652173913043,0.001,False,2026-05-14T16:48:11.639518
31,0.004510206203121925,0.06131135765463114,0.8777777777777778,0.8533333333333334,0.001,False,2026-05-14T16:48:13.304046
32,0.0017202392655235599,0.01811502780765295,0.9777777777777777,0.9693251533742331,0.001,False,2026-05-14T16:48:14.999556
33,0.001424940291144594,0.01719421602319926,0.98,0.9723076923076923,0.001,False,2026-05-14T16:48:16.757577
34,0.0007734220039310458,0.022776341531425714,0.9622222222222222,0.9495548961424333,0.001,False,2026-05-14T16:48:18.435616
35,0.0004293739823424403,0.013514081343600992,0.9933333333333333,0.9907120743034056,0.001,True,2026-05-14T16:48:20.075484
36,0.00029395065212156624,0.014470577640167903,0.9777777777777777,0.9696969696969697,0.001,False,2026-05-14T16:48:21.744636
37,0.0003074341298088257,0.016402807174017653,0.9888888888888889,0.9846153846153847,0.001,False,2026-05-14T16:48:23.368329
38,0.0002547866422446532,0.01600544287066441,0.9822222222222222,0.975609756097561,0.001,False,2026-05-14T16:48:25.033325
39,0.0001403045133656633,0.014105264270256157,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:48:26.724758
40,0.00012169800868377934,0.012444507772670477,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:48:28.376324
41,8.711867513966354e-05,0.014786722585085954,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:48:30.078591
42,0.0001322544653987734,0.014466009541138192,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:48:31.711416
43,0.00016137837900487284,0.012600377474882407,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:48:33.374168
44,8.178595442132064e-05,0.014897394070203518,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:48:35.064204
45,0.00012138048005283508,0.013805925013002707,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:48:36.762389
46,0.0005223972647740993,0.023776523303240538,0.9488888888888889,0.9325513196480938,0.001,False,2026-05-14T16:48:38.419243
47,0.0017710773007593161,0.01737865681934636,0.9866666666666667,0.9813664596273292,0.001,False,2026-05-14T16:48:40.104740
48,0.007475783691916149,0.12277293857187033,0.8,0.7804878048780488,0.001,False,2026-05-14T16:48:41.794382
49,0.013496241925167851,0.07466362044215202,0.8066666666666666,0.7763496143958869,0.001,False,2026-05-14T16:48:43.455686
50,0.004376315475383308,0.04030505521222949,0.8977777777777778,0.8380281690140845,0.001,False,2026-05-14T16:48:45.120238
51,0.001859200419858098,0.012106526643037796,0.98,0.9723076923076923,0.001,False,2026-05-14T16:48:46.979558
52,0.0011870274056491326,0.010606045645545237,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:48:48.683520
53,0.0005025148620916298,0.010556488734437153,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:48:50.359468
54,0.00033737380749698787,0.0114356317644706,0.9888888888888889,0.9846153846153847,0.001,False,2026-05-14T16:48:52.050474
55,0.0002175778713535692,0.011143227772663522,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:48:53.717267
56,0.00016123666887324362,0.010974126670134865,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:48:55.426362
57,0.00014335187188407872,0.011723312702997646,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:48:57.118582
58,0.00012083135720786231,0.010244892957189222,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:48:58.770552
59,0.00011062602095535112,0.010687350791613426,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:49:00.425537
60,7.400773762356039e-05,0.010442031310503808,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:49:02.080729
61,0.00014373948977208784,0.011538668594539558,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:49:03.800646
62,0.00019236632283536892,0.012769332852030857,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:49:05.463908
63,0.00014957736445353476,0.013119793848318295,0.9911111111111112,0.9876543209876543,0.001,False,2026-05-14T16:49:07.110685
64,0.0006085651257023983,0.052027445286512375,0.8955555555555555,0.8719346049046321,0.001,False,2026-05-14T16:49:08.779914
65,0.0006650137925134914,0.025823911681072786,0.9777777777777777,0.9683544303797469,0.001,False,2026-05-14T16:49:10.470334
66,0.0007314624461969288,0.015848475275561213,0.9844444444444445,0.9780564263322884,0.001,False,2026-05-14T16:49:12.133784
67,0.0003723691553432218,0.01367503961591865,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:13.816580
68,0.002778631559067435,0.035583310993388295,0.9466666666666667,0.9225806451612903,0.001,False,2026-05-14T16:49:15.568506
69,0.003989964799529844,0.10721344500780106,0.8488888888888889,0.8247422680412371,0.001,False,2026-05-14T16:49:17.255605
70,0.005885246851903503,0.07821934670209885,0.8866666666666667,0.825938566552901,0.001,False,2026-05-14T16:49:18.961360
71,0.005315318441716954,0.3077280968427658,0.7155555555555555,0.7142857142857143,0.001,False,2026-05-14T16:49:20.705343
72,0.004498754036831087,0.01747831073589623,0.9577777777777777,0.943952802359882,0.001,False,2026-05-14T16:49:22.351177
73,0.001791081287592533,0.025272109312936664,0.9444444444444444,0.9174917491749175,0.001,False,2026-05-14T16:49:23.994995
74,0.0006766506248823134,0.00666458994965069,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:25.756924
75,0.0002336472459774086,0.008934906478316407,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:27.448591
76,0.00019000335339569574,0.00967555956231081,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:29.155457
77,0.0001405624340122813,0.010349880056310212,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:30.853358
78,0.0001239192059756533,0.01059019114518378,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:32.503167
79,0.00010915097902852722,0.010178101721976418,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:34.209767
80,0.0002348574809047932,0.0104411457941751,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:35.874956
81,0.00013166705628009368,0.010153858802368632,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:37.588922
82,7.745863356944938e-05,0.011011010251422704,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:39.281434
83,6.0414552393694976e-05,0.010671375505353353,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:41.067894
84,4.906954396233232e-05,0.01146122080672285,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:42.671656
85,5.4709085219428744e-05,0.011000168214195583,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:44.319726
86,4.573915339278756e-05,0.011103286174261484,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:45.972832
87,4.123890263940666e-05,0.01215383664316505,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:47.648723
88,3.329832649967557e-05,0.011794184379027683,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:49.299888
89,4.441072530880774e-05,0.012044251125189476,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:51.066993
90,5.12612782870292e-05,0.01282533472135583,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:52.727055
91,3.122297659530204e-05,0.01235277238083654,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:54.640735
92,2.2490172156608423e-05,0.012447263206354364,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:56.349916
93,2.2857795251240987e-05,0.012271988561110447,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:58.071320
94,2.9548156518899305e-05,0.012792275559718291,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:49:59.790781
95,2.0034326560391946e-05,0.012617542256350589,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:50:01.548293
96,1.810968532112156e-05,0.012569311213496803,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:50:03.313755
97,2.793798764599842e-05,0.012495714673946168,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:50:05.047611
98,1.8414342111583437e-05,0.013042964079716057,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:50:06.794009
99,2.0242550654359093e-05,0.012679940181442362,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:50:08.485928
100,2.14437356831354e-05,0.012628552482937039,0.9933333333333333,0.9907120743034056,0.001,False,2026-05-14T16:50:10.146579
